﻿Monthly Mean Discharge (m3/s) (PARAM = 1) and Monthly Mean Water Level (m) (PARAM = 2)
 ID,PARAM,TYPE,Year,Jan,SYM,Feb,SYM,Mar,SYM,Apr,SYM,May,SYM,Jun,SYM,Jul,SYM,Aug,SYM,Sep,SYM,Oct,SYM,Nov,SYM,Dec,SYM,Mean
08MF005,1,1,1912,,,,,485,,1150,,4990,,6130,,4780,,3960,,2160,,1530,,1060,,761,,
08MF005,1,1,1913,516,,710,,570,,984,,2690,,8280,,6480,,5990,,3930,,1760,,1010,,736,,2810
08MF005,1,1,1914,1050,,787,,906,,2100,,5730,,7140,,6530,,3720,,2140,,1970,,1760,,1080,,2920
08MF005,1,1,1915,886,,749,,806,,2510,,4140,,4610,,5020,,3700,,1690,,1270,,1190,,585,,2270
08MF005,1,1,1916,543,,945,,780,,1280,,3880,,6580,,6460,,3930,,2350,,1620,,1040,,643,,2510
08MF005,1,1,1917,589,,543,,482,,767,,4170,,7880,,6510,,3720,,2130,,2100,,1940,,1590,,2710
08MF005,1,1,1918,1660,,1140,,964,,2020,,5290,,7970,,6960,,4320,,2570,,1650,,1180,,837,,3060
08MF005,1,1,1919,668,,584,,497,,1360,,4050,,6470,,6930,,4640,,2420,,1430,,1320,,1160,,2640
08MF005,1,1,1920,1010,,834,,648,,857,,3980,,7240,,9600,,5460,,3130,,3310,,1860,,1200,,3270
08MF005,1,1,1921,935,,899,,824,,1580,,5330,,9320,,6610,,4230,,2710,,2700,,1940,,1360,,3210
08MF005,1,1,1922,908,,677,,590,,848,,4030,,8130,,5430,,3450,,2510,,2300,,1310,,1170,,2620
08MF005,1,1,1923,906,,674,,612,,1410,,4830,,7830,,5670,,3490,,2500,,1290,,939,,841,,2590
08MF005,1,1,1924,579,,907,,715,,874,,6020,,6790,,5060,,3900,,3110,,1950,,1310,,1230,,2710
08MF005,1,1,1925,869,,780,,702,,2230,,7060,,7020,,4810,,3020,,2360,,1140,,894,,1700,,2730
08MF005,1,1,1926,1240,,857,,939,,2710,,4810,,4390,,4300,,2500,,1580,,1450,,1270,,882,,2250
08MF005,1,1,1927,787,,633,,573,,896,,3320,,7360,,5880,,3610,,2510,,2920,,1730,,1030,,2610
08MF005,1,1,1928,1050,,781,,810,,1550,,6470,,7440,,5810,,3230,,1780,,1300,,860,,540,,2640
08MF005,1,1,1929,520,,497,,505,,676,,2750,,6180,,4150,,2970,,1890,,1340,,986,,793,,1940
08MF005,1,1,1930,975,,799,,635,,1810,,3510,,6220,,5370,,3130,,2180,,1430,,1160,,840,,2340
